"labelsvec","datasetmean"
"tBodyAcc-mean()-X","0.274347260646063"
"tBodyAcc-mean()-Y","-0.0177434918458972"
"tBodyAcc-mean()-Z","-0.108925032737064"
"tBodyAcc-std()-X","-0.607783818968688"
"tBodyAcc-std()-Y","-0.510191378479501"
"tBodyAcc-std()-Z","-0.61306429934125"
"tBodyAcc-mad()-X","-0.633592610907429"
"tBodyAcc-mad()-Y","-0.525696539001884"
"tBodyAcc-mad()-Z","-0.61498890978365"
"tBodyAcc-max()-X","-0.466732370523269"
"tBodyAcc-max()-Y","-0.305180462546411"
"tBodyAcc-max()-Z","-0.562229619850407"
"tBodyAcc-min()-X","0.525304172511095"
"tBodyAcc-min()-Y","0.389536587321513"
"tBodyAcc-min()-Z","0.598021923353949"
"tBodyAcc-sma()","-0.552087115648893"
"tBodyAcc-energy()-X","-0.825459670396252"
"tBodyAcc-energy()-Y","-0.902704282327838"
"tBodyAcc-energy()-Z","-0.854661759222973"
"tBodyAcc-iqr()-X","-0.689161821371472"
"tBodyAcc-iqr()-Y","-0.643511768623583"
"tBodyAcc-iqr()-Z","-0.640685815482928"
"tBodyAcc-entropy()-X","-0.100331848808134"
"tBodyAcc-entropy()-Y","-0.128765122937701"
"tBodyAcc-entropy()-Z","-0.157863394141636"
"tBodyAcc-arCoeff()-X,1","-0.118954333677729"
"tBodyAcc-arCoeff()-X,2","0.108573706261895"
"tBodyAcc-arCoeff()-X,3","-0.0356994169213299"
"tBodyAcc-arCoeff()-X,4","0.122000192842546"
"tBodyAcc-arCoeff()-Y,1","-0.029676503537188"
"tBodyAcc-arCoeff()-Y,2","0.0317237742172389"
"tBodyAcc-arCoeff()-Y,3","0.155147508424199"
"tBodyAcc-arCoeff()-Y,4","-0.0180767920878722"
"tBodyAcc-arCoeff()-Z,1","0.00611033964754394"
"tBodyAcc-arCoeff()-Z,2","0.0377291540841395"
"tBodyAcc-arCoeff()-Z,3","0.034423733821314"
"tBodyAcc-arCoeff()-Z,4","-0.0826692044542652"
"tBodyAcc-correlation()-X,Y","-0.120308569497857"
"tBodyAcc-correlation()-X,Z","-0.19774621582879"
"tBodyAcc-correlation()-Y,Z","0.102198864072034"
"tGravityAcc-mean()-X","0.669226222373046"
"tGravityAcc-mean()-Y","0.00403879092060517"
"tGravityAcc-mean()-Z","0.0921508600211059"
"tGravityAcc-std()-X","-0.965207115039421"
"tGravityAcc-std()-Y","-0.95440802665318"
"tGravityAcc-std()-Z","-0.938900969424022"
"tGravityAcc-mad()-X","-0.966017547593359"
"tGravityAcc-mad()-Y","-0.955361184463938"
"tGravityAcc-mad()-Z","-0.940206277312749"
"tGravityAcc-max()-X","0.609058202575891"
"tGravityAcc-max()-Y","-0.0103216842233446"
"tGravityAcc-max()-Z","0.0967393305199664"
"tGravityAcc-min()-X","0.683762046463103"
"tGravityAcc-min()-Y","0.0166078634418512"
"tGravityAcc-min()-Z","0.0793492718974707"
"tGravityAcc-sma()","-0.0985870819600584"
"tGravityAcc-energy()-X","0.446206727733547"
"tGravityAcc-energy()-Y","-0.721469908539694"
"tGravityAcc-energy()-Z","-0.763609232749742"
"tGravityAcc-iqr()-X","-0.968239871201476"
"tGravityAcc-iqr()-Y","-0.958592816013108"
"tGravityAcc-iqr()-Z","-0.944775940840858"
"tGravityAcc-entropy()-X","-0.674768951348029"
"tGravityAcc-entropy()-Y","-0.866704392505228"
"tGravityAcc-entropy()-Z","-0.669100243301527"
"tGravityAcc-arCoeff()-X,1","-0.504401651936594"
"tGravityAcc-arCoeff()-X,2","0.542886549905516"
"tGravityAcc-arCoeff()-X,3","-0.580674458607939"
