"labelsvec","datasetsd"
"tBodyAcc-mean()-X","0.0676277962784943"
"tBodyAcc-mean()-Y","0.0371281663827435"
"tBodyAcc-mean()-Z","0.0530330859935597"
"tBodyAcc-std()-X","0.438693831339194"
"tBodyAcc-std()-Y","0.500239766883052"
"tBodyAcc-std()-Z","0.403656584651858"
"tBodyAcc-mad()-X","0.413333018338302"
"tBodyAcc-mad()-Y","0.484200647735623"
"tBodyAcc-mad()-Z","0.399034058245509"
"tBodyAcc-max()-X","0.538706787937137"
"tBodyAcc-max()-Y","0.279920275645106"
"tBodyAcc-max()-Z","0.282990528345684"
"tBodyAcc-min()-X","0.35658895383491"
"tBodyAcc-min()-Y","0.338844070101853"
"tBodyAcc-min()-Z","0.290614654527968"
"tBodyAcc-sma()","0.461374610489333"
"tBodyAcc-energy()-X","0.247051818372546"
"tBodyAcc-energy()-Y","0.125987849568003"
"tBodyAcc-energy()-Z","0.205997502274485"
"tBodyAcc-iqr()-X","0.359208955275679"
"tBodyAcc-iqr()-Y","0.368864626867882"
"tBodyAcc-iqr()-Z","0.372065441972237"
"tBodyAcc-entropy()-X","0.462315492015796"
"tBodyAcc-entropy()-Y","0.433687257153052"
"tBodyAcc-entropy()-Z","0.368101697846064"
"tBodyAcc-arCoeff()-X,1","0.30772148256937"
"tBodyAcc-arCoeff()-X,2","0.247139818354679"
"tBodyAcc-arCoeff()-X,3","0.24782017417328"
"tBodyAcc-arCoeff()-X,4","0.232044067142965"
"tBodyAcc-arCoeff()-Y,1","0.254461172108767"
"tBodyAcc-arCoeff()-Y,2","0.213707644491184"
"tBodyAcc-arCoeff()-Y,3","0.208718482461815"
"tBodyAcc-arCoeff()-Y,4","0.22025683499872"
"tBodyAcc-arCoeff()-Z,1","0.281721843867417"
"tBodyAcc-arCoeff()-Z,2","0.215456028850331"
"tBodyAcc-arCoeff()-Z,3","0.236854255066669"
"tBodyAcc-arCoeff()-Z,4","0.230957461626828"
"tBodyAcc-correlation()-X,Y","0.357676934489248"
"tBodyAcc-correlation()-X,Z","0.325103253809755"
"tBodyAcc-correlation()-Y,Z","0.376048745505092"
"tGravityAcc-mean()-X","0.515485780308741"
"tGravityAcc-mean()-Y","0.378909215421356"
"tGravityAcc-mean()-Z","0.334270168704641"
"tGravityAcc-std()-X","0.0777147960480108"
"tGravityAcc-std()-Y","0.0852866205384834"
"tGravityAcc-std()-Z","0.101554847657515"
"tGravityAcc-mad()-X","0.0761984074973394"
"tGravityAcc-mad()-Y","0.0842337759905093"
"tGravityAcc-mad()-Z","0.100521377576158"
"tGravityAcc-max()-X","0.509003275335256"
"tGravityAcc-max()-Y","0.366683488644674"
"tGravityAcc-max()-Z","0.329611069144372"
"tGravityAcc-min()-X","0.507051553876899"
"tGravityAcc-min()-Y","0.376404366728383"
"tGravityAcc-min()-Z","0.336731410192899"
"tGravityAcc-sma()","0.39194457685093"
"tGravityAcc-energy()-X","0.696454611374246"
"tGravityAcc-energy()-Y","0.454408668282572"
"tGravityAcc-energy()-Z","0.424081696116968"
"tGravityAcc-iqr()-X","0.0717859944176486"
"tGravityAcc-iqr()-Y","0.0806892568819021"
"tGravityAcc-iqr()-Z","0.0960495894031246"
"tGravityAcc-entropy()-X","0.361048291089865"
"tGravityAcc-entropy()-Y","0.281431008934707"
"tGravityAcc-entropy()-Z","0.393154812472846"
"tGravityAcc-arCoeff()-X,1","0.216469557472953"
"tGravityAcc-arCoeff()-X,2","0.20979116415504"
"tGravityAcc-arCoeff()-X,3","0.207895539861647"
"tGravityAcc-arCoeff()-X,4","0.210734591739111"
"tGravityAcc-arCoeff()-Y,1","0.293287453345593"
"tGravityAcc-arCoeff()-Y,2","0.299026168408569"
"tGravityAcc-arCoeff()-Y,3","0.291191538146509"
"tGravityAcc-arCoeff()-Y,4","0.282566749250549"
"tGravityAcc-arCoeff()-Z,1","0.268260437215381"
"tGravityAcc-arCoeff()-Z,2","0.259414267706556"
"tGravityAcc-arCoeff()-Z,3","0.25337848973178"
"tGravityAcc-arCoeff()-Z,4","0.249913454913049"
"tGravityAcc-correlation()-X,Y","0.696326676277864"
"tGravityAcc-correlation()-X,Z","0.703940669950718"
"tGravityAcc-correlation()-Y,Z","0.701159247972398"
"tBodyAccJerk-mean()-X","0.176112457141583"
"tBodyAccJerk-mean()-Y","0.164518387624882"
"tBodyAccJerk-mean()-Z","0.155978985687957"
"tBodyAccJerk-std()-X","0.408711816447501"
"tBodyAccJerk-std()-Y","0.43288446111401"
"tBodyAccJerk-std()-Z","0.277901388841564"
"tBodyAccJerk-mad()-X","0.413603899753198"
"tBodyAccJerk-mad()-Y","0.446134739812249"
"tBodyAccJerk-mad()-Z","0.283632230305184"
"tBodyAccJerk-max()-X","0.359868403041266"
"tBodyAccJerk-max()-Y","0.293669344905603"
"tBodyAccJerk-max()-Z","0.223993152704084"
"tBodyAccJerk-min()-X","0.435520561878772"
"tBodyAccJerk-min()-Y","0.359038828916912"
"tBodyAccJerk-min()-Z","0.306461594197294"
"tBodyAccJerk-sma()","0.39270939928907"
"tBodyAccJerk-energy()-X","0.214780937496912"
"tBodyAccJerk-energy()-Y","0.243041127800684"
"tBodyAccJerk-energy()-Z","0.117932196316046"
"tBodyAccJerk-iqr()-X","0.429626690012962"
"tBodyAccJerk-iqr()-Y","0.375057069629955"
"tBodyAccJerk-iqr()-Z","0.266293778738553"
"tBodyAccJerk-entropy()-X","0.652665466225972"
"tBodyAccJerk-entropy()-Y","0.632120056752987"
"tBodyAccJerk-entropy()-Z","0.607460459802421"
"tBodyAccJerk-arCoeff()-X,1","0.303579770359896"
"tBodyAccJerk-arCoeff()-X,2","0.192419625461438"
"tBodyAccJerk-arCoeff()-X,3","0.24145294045136"
"tBodyAccJerk-arCoeff()-X,4","0.195963055005121"
"tBodyAccJerk-arCoeff()-Y,1","0.268178318108628"
"tBodyAccJerk-arCoeff()-Y,2","0.217858174917094"
"tBodyAccJerk-arCoeff()-Y,3","0.237786650731578"
"tBodyAccJerk-arCoeff()-Y,4","0.20253905841849"
"tBodyAccJerk-arCoeff()-Z,1","0.27177459517809"
"tBodyAccJerk-arCoeff()-Z,2","0.196581769342212"
"tBodyAccJerk-arCoeff()-Z,3","0.224184075440338"
"tBodyAccJerk-arCoeff()-Z,4","0.239589441773602"
"tBodyAccJerk-correlation()-X,Y","0.257668984379244"
"tBodyAccJerk-correlation()-X,Z","0.293081146512313"
"tBodyAccJerk-correlation()-Y,Z","0.277203281793459"
"tBodyGyro-mean()-X","0.183186086288647"
"tBodyGyro-mean()-Y","0.134317132299449"
"tBodyGyro-mean()-Z","0.134875256324883"
"tBodyGyro-std()-X","0.301027072676107"
"tBodyGyro-std()-Y","0.356884535690522"
"tBodyGyro-std()-Z","0.372606080407907"
"tBodyGyro-mad()-X","0.297645033607044"
"tBodyGyro-mad()-Y","0.344406999597297"
"tBodyGyro-mad()-Z","0.361793462833175"
"tBodyGyro-max()-X","0.276429784460986"
"tBodyGyro-max()-Y","0.266151472447876"
"tBodyGyro-max()-Z","0.303126283256269"
"tBodyGyro-min()-X","0.251194972497014"
"tBodyGyro-min()-Y","0.211607523342656"
"tBodyGyro-min()-Z","0.307942562626276"
"tBodyGyro-sma()","0.402105789442166"
"tBodyGyro-energy()-X","0.142692686110331"
"tBodyGyro-energy()-Y","0.190265776004035"
"tBodyGyro-energy()-Z","0.190199566846059"
"tBodyGyro-iqr()-X","0.30220092536194"
"tBodyGyro-iqr()-Y","0.325276016579143"
"tBodyGyro-iqr()-Z","0.316308804415312"
"tBodyGyro-entropy()-X","0.454511781080564"
"tBodyGyro-entropy()-Y","0.370511763604176"
"tBodyGyro-entropy()-Z","0.456048674677578"
"tBodyGyro-arCoeff()-X,1","0.276496091050377"
"tBodyGyro-arCoeff()-X,2","0.227004030736351"
"tBodyGyro-arCoeff()-X,3","0.229329741439315"
"tBodyGyro-arCoeff()-X,4","0.240801877363241"
"tBodyGyro-arCoeff()-Y,1","0.208650205855494"
"tBodyGyro-arCoeff()-Y,2","0.191658715040967"
"tBodyGyro-arCoeff()-Y,3","0.228433080110184"
"tBodyGyro-arCoeff()-Y,4","0.217287608124045"
"tBodyGyro-arCoeff()-Z,1","0.312805142470109"
"tBodyGyro-arCoeff()-Z,2","0.282266820145649"
"tBodyGyro-arCoeff()-Z,3","0.267674531495816"
"tBodyGyro-arCoeff()-Z,4","0.258314094052369"
"tBodyGyro-correlation()-X,Y","0.382195177870201"
"tBodyGyro-correlation()-X,Z","0.386478106522487"
"tBodyGyro-correlation()-Y,Z","0.417606009920807"
"tBodyGyroJerk-mean()-X","0.128134958190288"
"tBodyGyroJerk-mean()-Y","0.114409175563585"
"tBodyGyroJerk-mean()-Z","0.12889560784934"
"tBodyGyroJerk-std()-X","0.303815898902629"
"tBodyGyroJerk-std()-Y","0.272715680791952"
"tBodyGyroJerk-std()-Z","0.301994176894438"
"tBodyGyroJerk-mad()-X","0.306559795984482"
"tBodyGyroJerk-mad()-Y","0.257725623482464"
"tBodyGyroJerk-mad()-Z","0.292927335711068"
"tBodyGyroJerk-max()-X","0.290949057241249"
"tBodyGyroJerk-max()-Y","0.253273961093559"
"tBodyGyroJerk-max()-Z","0.305855850284076"
"tBodyGyroJerk-min()-X","0.279510466890763"
"tBodyGyroJerk-min()-Y","0.227971626142811"
"tBodyGyroJerk-min()-Z","0.247887032678517"
"tBodyGyroJerk-sma()","0.269257703478079"
"tBodyGyroJerk-energy()-X","0.133008556965581"
"tBodyGyroJerk-energy()-Y","0.132139714520881"
"tBodyGyroJerk-energy()-Z","0.134139856450553"
"tBodyGyroJerk-iqr()-X","0.30189996012633"
"tBodyGyroJerk-iqr()-Y","0.242247314207369"
"tBodyGyroJerk-iqr()-Z","0.271443866207107"
"tBodyGyroJerk-entropy()-X","0.564853287457401"
"tBodyGyroJerk-entropy()-Y","0.544319919128172"
"tBodyGyroJerk-entropy()-Z","0.58073637326237"
"tBodyGyroJerk-arCoeff()-X,1","0.250222388359969"
"tBodyGyroJerk-arCoeff()-X,2","0.185707231792612"
"tBodyGyroJerk-arCoeff()-X,3","0.211541497585018"
"tBodyGyroJerk-arCoeff()-X,4","0.211124363592228"
"tBodyGyroJerk-arCoeff()-Y,1","0.21435487419394"
"tBodyGyroJerk-arCoeff()-Y,2","0.16705097916226"
"tBodyGyroJerk-arCoeff()-Y,3","0.19710565014392"
"tBodyGyroJerk-arCoeff()-Y,4","0.245042597818742"
"tBodyGyroJerk-arCoeff()-Z,1","0.3432261736239"
"tBodyGyroJerk-arCoeff()-Z,2","0.232346183628015"
"tBodyGyroJerk-arCoeff()-Z,3","0.246395517886876"
"tBodyGyroJerk-arCoeff()-Z,4","0.247741633044611"
"tBodyGyroJerk-correlation()-X,Y","0.276621839963699"
"tBodyGyroJerk-correlation()-X,Z","0.266925451540913"
"tBodyGyroJerk-correlation()-Y,Z","0.259522039359"
"tBodyAccMag-mean()","0.467093741712107"
"tBodyAccMag-std()","0.429431345143224"
"tBodyAccMag-mad()","0.374670154679935"
"tBodyAccMag-max()","0.461239470509056"
"tBodyAccMag-min()","0.190264485082627"
"tBodyAccMag-sma()","0.467093741712107"
"tBodyAccMag-energy()","0.280319315848312"
"tBodyAccMag-iqr()","0.314228061627684"
"tBodyAccMag-entropy()","0.669369329035053"
"tBodyAccMag-arCoeff()1","0.290437140089988"
"tBodyAccMag-arCoeff()2","0.234723767961185"
"tBodyAccMag-arCoeff()3","0.253225342133015"
"tBodyAccMag-arCoeff()4","0.263116394394965"
"tGravityAccMag-mean()","0.467093741712107"
"tGravityAccMag-std()","0.429431345143224"
"tGravityAccMag-mad()","0.374670154679935"
"tGravityAccMag-max()","0.461239470509056"
"tGravityAccMag-min()","0.190264485082627"
"tGravityAccMag-sma()","0.467093741712107"
